key,value,date
Wireless Network,0.004569,2009
Social Network,0.004599,2009
Peer Peer,0.002824,2009
Deep Learn,0.000074,2009
Information System,0.004554,2009
Energy Efficient,0.002203,2009
High Performance,0.002322,2009
Web Service,0.005885,2009
Ad Hoc,0.006698,2009
Information Retrieval,0.002174,2009
Reinforcement Learn,0.001538,2009
Object Orient,0.001065,2009
Model Base,0.004820,2009
Machine Learn,0.001671,2009
Genetic Algorithm,0.005264,2009
Sensor Network,0.014827,2010
Real Time,0.011282,2010
Wireless Sensor,0.010607,2010
Neural Network,0.009749,2010
Case Study,0.007118,2010
Web Base,0.002377,2010
Multi Agent,0.004136,2010
Social Medium,0.000858,2010
Large Scale,0.005543,2010
Mobile Robot,0.002124,2010
E Commerce,0.001393,2010
Hoc Network,0.004037,2010
Speech Recognition,0.002560,2010
Convolutional Neural,0.000113,2010
Cognitive Radio,0.004037,2010
Big Datum,0.000014,2010
Base Approach,0.004291,2010
Wireless Network,0.004980,2010
Social Network,0.005247,2010
Peer Peer,0.002223,2010
Deep Learn,0.000070,2010
Information System,0.004544,2010
Energy Efficient,0.002504,2010
High Performance,0.002166,2010
Web Service,0.005106,2010
Ad Hoc,0.005247,2010
Information Retrieval,0.002096,2010
Reinforcement Learn,0.001773,2010
Object Orient,0.001196,2010
Model Base,0.004853,2010
Machine Learn,0.001941,2010
Genetic Algorithm,0.004952,2010
Sensor Network,0.013088,2011
Real Time,0.011848,2011
Wireless Sensor,0.009729,2011
Neural Network,0.007998,2011
Case Study,0.007132,2011
Web Base,0.001873,2011
Multi Agent,0.003579,2011
Social Medium,0.001873,2011
Large Scale,0.005504,2011
Mobile Robot,0.002468,2011
E Commerce,0.000788,2011
Hoc Network,0.003915,2011
Speech Recognition,0.002300,2011
Convolutional Neural,0.000052,2011
Cognitive Radio,0.004199,2011
Big Datum,0.000103,2011
Base Approach,0.003837,2011
Wireless Network,0.004858,2011
Social Network,0.006434,2011
Peer Peer,0.001538,2011
Deep Learn,0.000168,2011
Information System,0.003799,2011
Energy Efficient,0.003579,2011
High Performance,0.002442,2011
Web Service,0.003734,2011
Ad Hoc,0.004871,2011
Information Retrieval,0.001705,2011
Reinforcement Learn,0.001899,2011
Object Orient,0.000904,2011
Model Base,0.004742,2011
Machine Learn,0.001938,2011
Genetic Algorithm,0.004005,2011
Sensor Network,0.012694,2012
Real Time,0.012231,2012
Wireless Sensor,0.009270,2012
Case Study,0.007662,2012
Neural Network,0.007407,2012
Web Base,0.001815,2012
Multi Agent,0.003825,2012
Social Medium,0.002851,2012
Large Scale,0.005786,2012
Mobile Robot,0.002400,2012
E Commerce,0.000743,2012
Hoc Network,0.003094,2012
Speech Recognition,0.002461,2012
Convolutional Neural,0.000122,2012
Cognitive Radio,0.004422,2012
Big Datum,0.000914,2012
Base Approach,0.004519,2012
Wireless Network,0.004398,2012
Social Network,0.007200,2012
Peer Peer,0.000938,2012
Deep Learn,0.000207,2012
Information System,0.004057,2012
Energy Efficient,0.003947,2012
High Performance,0.002570,2012
Web Service,0.002911,2012
Ad Hoc,0.003983,2012
Information Retrieval,0.001608,2012
Reinforcement Learn,0.001571,2012
Object Orient,0.000682,2012
Model Base,0.005189,2012
Machine Learn,0.002412,2012
Genetic Algorithm,0.003655,2012
Real Time,0.012305,2013
Sensor Network,0.011515,2013
Wireless Sensor,0.008495,2013
Case Study,0.007775,2013
Neural Network,0.007315,2013
Web Base,0.001876,2013
Multi Agent,0.003315,2013
Social Medium,0.004011,2013
Large Scale,0.005852,2013
Mobile Robot,0.002548,2013
E Commerce,0.000460,2013
Hoc Network,0.002619,2013
Speech Recognition,0.001876,2013
Convolutional Neural,0.000260,2013
Cognitive Radio,0.003905,2013
Big Datum,0.003103,2013
Base Approach,0.004106,2013
Wireless Network,0.003858,2013
Social Network,0.007114,2013
Peer Peer,0.000932,2013
Deep Learn,0.000283,2013
Information System,0.003327,2013
Energy Efficient,0.004566,2013
High Performance,0.002206,2013
Web Service,0.002194,2013
Ad Hoc,0.003539,2013
Information Retrieval,0.001510,2013
Reinforcement Learn,0.001451,2013
Object Orient,0.000625,2013
Model Base,0.004707,2013
Machine Learn,0.002336,2013
Genetic Algorithm,0.003303,2013
Real Time,0.011789,2014
Sensor Network,0.009274,2014
Neural Network,0.009066,2014
Case Study,0.008178,2014
Wireless Sensor,0.006863,2014
Web Base,0.001626,2014
Multi Agent,0.003645,2014
Social Medium,0.003956,2014
Large Scale,0.006217,2014
Mobile Robot,0.001961,2014
E Commerce,0.000588,2014
Hoc Network,0.002272,2014
Speech Recognition,0.002099,2014
Convolutional Neural,0.000600,2014
Cognitive Radio,0.003864,2014
Big Datum,0.004902,2014
Base Approach,0.004406,2014
Wireless Network,0.003345,2014
Social Network,0.006598,2014
Peer Peer,0.000554,2014
Deep Learn,0.000819,2014
Information System,0.002953,2014
Energy Efficient,0.004256,2014
High Performance,0.002099,2014
Web Service,0.001926,2014
Ad Hoc,0.002953,2014
Information Retrieval,0.001384,2014
Reinforcement Learn,0.001361,2014
Object Orient,0.000577,2014
Model Base,0.004026,2014
Machine Learn,0.002803,2014
Genetic Algorithm,0.002711,2014
Real Time,0.011603,2015
Neural Network,0.010786,2015
Case Study,0.008878,2015
Sensor Network,0.007380,2015
Social Network,0.006528,2015
Web Base,0.001385,2015
Multi Agent,0.003315,2015
Social Medium,0.004530,2015
Large Scale,0.006460,2015
Mobile Robot,0.001839,2015
E Commerce,0.000624,2015
Hoc Network,0.001919,2015
Speech Recognition,0.001953,2015
Wireless Sensor,0.005824,2015
Convolutional Neural,0.002078,2015
Cognitive Radio,0.003281,2015
Big Datum,0.006449,2015
Base Approach,0.004099,2015
Wireless Network,0.003088,2015
Peer Peer,0.000636,2015
Deep Learn,0.001726,2015
Information System,0.003043,2015
Energy Efficient,0.004632,2015
High Performance,0.002430,2015
Web Service,0.001862,2015
Ad Hoc,0.002464,2015
Information Retrieval,0.001260,2015
Reinforcement Learn,0.001487,2015
Object Orient,0.000715,2015
Model Base,0.004416,2015
Machine Learn,0.003667,2015
Genetic Algorithm,0.002759,2015
Neural Network,0.016826,2016
Real Time,0.011902,2016
Case Study,0.008620,2016
Sensor Network,0.006945,2016
Large Scale,0.006777,2016
Web Base,0.001239,2016
Multi Agent,0.003528,2016
Social Medium,0.005516,2016
Mobile Robot,0.001641,2016
E Commerce,0.000748,2016
Hoc Network,0.001719,2016
Speech Recognition,0.001865,2016
Wireless Sensor,0.005203,2016
Convolutional Neural,0.004321,2016
Cognitive Radio,0.002624,2016
Big Datum,0.006532,2016
Base Approach,0.003930,2016
Wireless Network,0.002479,2016
Social Network,0.006007,2016
Peer Peer,0.000648,2016
Deep Learn,0.003752,2016
Information System,0.002646,2016
Energy Efficient,0.003930,2016
High Performance,0.002278,2016
Web Service,0.001251,2016
Ad Hoc,0.002255,2016
Information Retrieval,0.001217,2016
Reinforcement Learn,0.001686,2016
Object Orient,0.000514,2016
Model Base,0.004198,2016
Machine Learn,0.004745,2016
Genetic Algorithm,0.002434,2016
Neural Network,0.023269,2017
Real Time,0.011010,2017
Case Study,0.008368,2017
Convolutional Neural,0.008047,2017
Deep Learn,0.007671,2017
Web Base,0.001172,2017
Multi Agent,0.003316,2017
Social Medium,0.005428,2017
Large Scale,0.006566,2017
Mobile Robot,0.002012,2017
E Commerce,0.000752,2017
Hoc Network,0.001338,2017
Speech Recognition,0.001835,2017
Wireless Sensor,0.004068,2017
Sensor Network,0.005516,2017
Cognitive Radio,0.002056,2017
Big Datum,0.006853,2017
Base Approach,0.003946,2017
Wireless Network,0.002775,2017
Social Network,0.005240,2017
Peer Peer,0.000619,2017
Information System,0.002498,2017
Energy Efficient,0.003626,2017
High Performance,0.002443,2017
Web Service,0.001083,2017
Ad Hoc,0.001879,2017
Information Retrieval,0.001116,2017
Reinforcement Learn,0.003261,2017
Object Orient,0.000508,2017
Model Base,0.004256,2017
Machine Learn,0.007130,2017
Genetic Algorithm,0.002211,2017
Neural Network,0.028727,2018
Deep Learn,0.012045,2018
Real Time,0.010463,2018
Convolutional Neural,0.009909,2018
Machine Learn,0.009774,2018
Web Base,0.000933,2018
Multi Agent,0.003380,2018
Social Medium,0.004867,2018
Large Scale,0.006583,2018
Mobile Robot,0.001636,2018
E Commerce,0.000838,2018
Hoc Network,0.000852,2018
Speech Recognition,0.002055,2018
Wireless Sensor,0.002920,2018
Sensor Network,0.004015,2018
